col1,col2,col3,col4,col5,col6,col7,col8,target,
64,8,32,Kite,5,True ,l,"TransferWise is the clever new way to move money between countries. Co-founded by Skype’s first employee and backed by some of planet's most experienced innovators, including Sir Richard Branson and PayPal founder Peter Thiel, we're disrupting the world of currency &amp; international money transfer. That means flipping a gazillion dollar industry on its head and taking power away from banks and the establishment.Based in Old Street, the hub of London’s start up scene, we’re growing at an extraordinary rate, with currently just over 200 people strong and handling many millions of pounds daily. As it is critical to have the right team behind the vision, you can play a key part in building our team of 50 today to 100-150 during this hyper growth phase.You’ve either been working as a sourcer in an internet/technology business or at an agency identifying top calibre of candidates predominantly in the business space across Europe. You will be joining our powerhouse and working closely with our leaders across a range of divisions, as well as managing your own pipeline within the fast-pace world of a leading start-up where no two days are the same!",1,
5,74.3,43,Lion,,True ,xxl,"The Applications Developer, Digital will develop or participate in the development, support or migration of the web and intranet applications, along with other business applications that may be cloud or locally hosted. Our goal to make sure our applications are state of the art, available and content-rich. We also thrive to make sure all our users are satisfied and that all support requests are answered-to in timely manner.Key Responsibilities:PHP and #URL_c5591c960537d84ff7889f414633cdbc8e7d36f3fe042a096d374e4e058388d5# (C# and VB) development per project needs.Design, create and program MySQL and SQL Server databases per project needs.Triage and resolve tickets for supported systems and applicationsProvide troubleshooting expertise for proprietary applications in Production and Support environmentsDocument new and update solutions and process documentationFollow established procedures for managing risk when updating production systemsCreate and update process automationMigrate applications between different environmentsDeploy new applicationsManage content and support applications usersTest applications and document issuesDevelop solutions to existing issues and track a knowledge baseSupport Office 365 environment and applicationsAssist in gathering requirements and project specificationsAttend meetings as needed.Take ownership of daily applications support needs and communications.Communicate project status and deliverables with managers and other involved personnel.Manage project tasks, timelines, and communication.Perform routine site maintenance as needed.Other tasks as needed for successful project completion or as assigned by management.Must be willing to travel to Novitex sites (10%)",0,
5,4,54,Mountain,,FALSE,m,"Event Industry Installers Needed!! (Orlando, FL - near Florida Mall)Do you want to work? Are you available on short notice? Are you willing to work days, weekends, or nights, even overtime without complaining? Are you a fast learner, team player, and possess strong organizational skills? We have installer positions available for qualified individuals.If you are afraid of hard work or getting dirty, do not waste my time, or yours! This work can be very demanding.If you are willing to work hard, contribute to the team, a fast learner, organized, and able to communicate well, I am looking for you.This is physical work. It involves heavy lifting, moving heavy objects, getting your hands dirty, sometimes long days, or nights.If you think you can handle it, please feel free to contact me.",1,
56,52,12,Notebook,,FALSE,l,"Are you interested in a satisfying and financially rewarding role in a high growth technology company? You’ll work in a casual yet high energy environment alongside passionate people delivering the leading competitive intelligence solution to major global brands. With the continued rapid growth of digital marketing and PPC a huge opportunity exists to further expand the Adthena enterprise client base. We are seeking an experienced Account Executive to develop and close new business in enterprise accounts. A large opportunity exists across all major search engine verticals including: Auto, Retail, Gaming, Travel, Finance, Insurance and Education.Primarily you’ll use a consultative approach to determine customer needs and deliver presentations and technical demonstrations. Where required, you will work with a client’s advertising agency to uncover value for prospective customers. You’ll be supported by marketing and business development reps to build a pipeline of accounts.",0,
5,4,23,Orange,,True ,missing,"About Vault Dragon Vault Dragon is Dropbox for your physical stuff - a startup that is changing the aesthetic face of Singapore by creating more space in households and offices. We also save countless doctors, lawyers and professional services firms everyday from the catastrophe of document storage and management. Singapore Business Review magazine says we are one of the 20 hottest startups in Singapore. Don’t believe a word they are saying, because we are THE hottest startup in Singapore.Our crusade against the lack of space in Singapore is supported by top VC funds, including Jungle Ventures, 500 startups and Golden Gate ventures. Vault Dragon is the hero Singapore deserves and the one it needs right now, come and join!Job DescriptionVault Dragon is looking for a VP of Sales who will 'roll up their sleeves' and drive sales to both B2B and B2C customers. We need someone as persistent as Seth (Boiler Room) and as driven as Jordan (Wolf of Wall Street). If you don't relate, then you can stop reading. But if “No” is not a word in your dictionary, and you love selling like we love pancakes, then this is definitely the job for you. The only boundary when it comes to working with us is your own imagination.The VP of Sales will (breathe in) drive planning, reporting, quota setting and management, sales process optimization, sales job design, sales training, sales program implementation, sales compensation design and administration, and recruiting and selection of sales force talent (breathe out). In addition they are responsible for the overall productivity and effectiveness of the sales organization. Reporting to the Founders, the VP of Sales also works closely with internal and external stakeholders to ensure the appropriate objectives and priorities are enabled within the sales organization.ResponsibilitiesUnleash the Dragon and and lead the sales charge for our awesome service. We are a rapidly growing startup and it's ground zero for a sales master to come into their own how they always dreamed of. You aren't going to be micro-managed here, so how you drive sales is up to you, so long as no bunnies are harmed in the process.We are looking for a change maker who knows what they want and how to do it, but high-level responsibilities include:Smash sales targets and set new milestonesDevelop quality sales material yourselfGenerate a high volume of sales related activity including cold calls, presentations, proposals, and client relationship developmentDevelop account strategies to drive long term revenue growth and upsellImplimenting enabling technology including CRM (and ensuring compliance)Hiring and training and incentivising your own sales team for both phone and field salesConceiving and implimenting sales processes that get resultsCoordinating sales forecasting, planning, and budgeting processes with the Founders in alignment with the business plan KPIs and continuous reportingDeveloping a 'Sales bible' to be leveraged as we expand outwards",1,
67,35,67,Piano,2,True ,l,"We are looking for a Hands-On QA Leader for our talented R&amp;D team, located in the Center of Tel Aviv.In this role you'll be responsible for leading and building our QA process. You will work closely with people across engineering, product, and community to help develop an amazing experience for our customers.",0,
86,67,eighty seven,Queen,,True ,s,"Government funding is only available for 16-18 year olds.We have 10 vacancies for career driven, highly motivated individuals living in the Southend-On-Sea area.You will complete a 4 week traineeship before starting your apprenticeship in Customer Service. You will receive full training and support for the training provider.Please apply now and you will be invited to attend the open day.",0,
8,8,65,Rainbow,,FALSE,m,"Kettle is hiring a Visual Designer!Job Location: New York, NYKettle is a growing digital agency focused on delivering outstanding products, and we’ve been working hard to find equally outstanding talent. Our bold, passionate, and multi-disciplinary team advocates for users to the benefit of our clients. We’ve grown organically to 35+ employees in our brand new office in SoHo New York, with a growing presence in the San Francisco Bay Area. We are looking to hire a new Visual Designer with a portfolio that combines strong web/app interface design and exemplary branding work. We are very excited about the first couple of projects you will be working on, and looking forward to presenting them to the right candidate.Your responsibilities as a Visual Designer include:Create differentiating, on-brand design solutions (branding, web design, mobile application design).Design clean, modern, inspiring pixel-perfect interfaces across platforms showcasing impeccable layout and typography skills.Maintain Kettle's quality and tone in ALL deliverables (from designs to final builds).Stay on top of best-of-breed designs and technologies.Very strong sense of the overall user experience.We thrive in an open, collaborative environment as we create award-winning products and experiences. Our clients are leading brands and digital innovators, including American Express, Sesame Street, the New Museum, YouTube, and many more we cannot disclose here.  Check out our website to learn more about our work.Please make sure to include a link to your online portfolio.",1,
9,4,34,Sunflower,,FALSE,l,"Experienced Process Controls Engineer is required having responsibility to monitor the facility’s DCS operations and performance, provide technical support and troubleshooting and facilitate the development of programs for improvement.D - 176Job Responsibilities: Assist with configuration, installation, and maintenance of electronic microprocessor-based instrument control systems including, but not limited to, the long-term historians and DCS control systems.Monitor the facility’s DCS operations and performance, provide technical support and troubleshooting and facilitate the development of programs for improvement.Oversee the field construction, verification of proper installation, performance of loop checks and the oversight of final commissioning of DCS/PLC equipment associated with maintenance or capital projects.Define spare parts and preventative maintenance requirements for DCS and related components.Communicate and maintain proper documentation related to the DCS system status, changes, and coordinate/conduct personnel training for such related items as necessary.Review facility instrument maintenance activities to ensure that manufacturing, construction, installation, and operational testing conform to all specifications, codes, and standards.Conduct failure mode analyses to identify units posing excessive failure risks and support proposed changes in design. ",1,
57,5,23,Tiger,,True ,s,"IntelliBright is growing fast and is looking for a Marketing Assistant to join our team. Your invaluable input will help our small to midsize business clientele to achieve their greatest potential.WHY CHOOSE INTELLIBRIGHT?Our close knit team built a company that revolutionized our initial target industry. We are now applying our collected expertise to multiple new verticals. If you've ever wanted to feel like you are getting into something on the ground floor where your ideas and suggestions are not only heard but embraced, then come see why Intellibright is the premier outsourced in-house online marketing team for our highly successful partner businesses.What you’ll get from us:Consistent support and constructive feedback on your workPaid -- Well!Intelligent, friendly co-workersOpportunity to learn and work with cutting-edge marketing strategiesContract to hire potentialAn environment where your input really mattersAs a company that is a Capital Factory darling you’ll get:Work in a highly-collaborative environmentDaily meet-ups and eventsAccess to pre-release major movie screeningsExposure to mentors, experts, VCs, brilliant peepsFully stocked kitchen, 1-2 weekly free lunch/breakfastRooftop pool and on-site gymFriday happy hoursAccess to special events",0,
43,3,34,Umbrella,,True ,m,"Want to be part of a globally focused tech team designing consumer products?Innovative ideas. Creative approaches. Insatiable curiosity. That's what we expect from a Front-End Web Developer at Teknique. Here, you'll be part of a fiercely collaborative technology team charged with creating amazing web platforms for our smart camera and video solutions.  That means contributing to high-traffic websites for a broad range of high-profile companies, and actively supporting our diverse suite of best-in-class technologies.  All this in an environment that constantly challenges you to push beyond boundaries and enhance your expertise.  As a valued member of the team, you will have an active role in helping design world class video camera systems, so you can expect to be involved in design meetings, testing products and being a real user for the products we create.  This position will integrate tightly with Experience Design (XD), so we need to speak the same language, even as the vocabulary continues to evolve.On a day-to-day basis you might be:Working with the product team to implement product features and roll out new functionality.Utilizing coding and design experience to develop robust web-client user interfaces which integrate with various server-side components and back-end systemsTranslating prototypes and designs into clean, valid, launch-ready codeExploring new technologies/industry trends and technical innovationCreating Proof-of-Concepts using new technologiesHandling multiple project requirements and making appropriate technical decisionsCollaborating with product managers, designers, and software engineers to ensure design vision is maintained, final markup is standards compliant, and UI deliverables are completed on time.Attend team meetings and contribute creatively Draft blog posts about your creative visions on UI/UX design and share them with the wider team – and potentially our customers.",0,
,26,56,missing entry,,True ,xl,"The position reports to the Head of Engagement Management in the Mobile Operator Business Unit. It is a key role liaising between the client and Upstream’s internal execution capabilities – ensuring the timely and successful delivery of complex mobile marketing campaigns throughout the world. This role is ideal for a candidate with high potential who wishes to be rewarded for outstanding performance, while having the opportunity to gain valuable international business experience on large mobile marketing projects. The role involves:Partnering with clients to deliver strategic interactive solutionsManaging client relationships and expectationsWorking with department managers to provide client deliverablesEnsuring the delivery of key projects on time and on budgetDeveloping technical and marketing concepts to meet client requirementsNegotiating contracts with clients and suppliersGuiding strategic implementation of recommendationsIdentifying and stewarding client/brand objectives and needsEnthusiastically representing Upstream’s strategy and creativityLiaising with worldwide partnersPreparing and defending business casesAssisting with RFP responses and proposal writingThe position will be based in UAE (Dubai), with extensive travelling according to project requirements. ",1,
23,3,67,Watermelon,,FALSE,l,"#URL_eda2500ddcedb60957fcd7f5b164e092966f8c4e8fb89ce70a16bea1545a297d#, an up and coming social media company, is seeking a VP, Sales and Sponsorship executive to be responsible for creating and selling branded, high-impact social media marketing and sponsorship programs for its key product, “The Ultimate Business App.""#URL_eda2500ddcedb60957fcd7f5b164e092966f8c4e8fb89ce70a16bea1545a297d# combines the ability to discover, connect and share with fellow professionals and offers the unique ability to communicate, manage, store and notate all aspects of your working life from one website and one mobile app. It’s positioned to be the world's newest social networking platform for professionals and the companies they work for.Do you have what it takes to be part of “The Next Big Thing” to hit social media? Read on…Responsibilities:Create, package and sell marketing and sponsorship opportunities within the Businessfriend suite of connection and communication tools to boost web site traffic and overall usage;Craft sales presentations that creatively and distinctly differentiate and communicate unique Businessfriend assets to targeted prospects;Educate / position Businessfriend assets and marketing capabilities to the sponsor/ advertiser marketplace; demonstrate the branding values of Businessfriend to create unique marketing value with company assets;Structure, price, successfully negotiate and close all deals and arrangements;Meet or exceed revenue and key account goals;Oversee sponsor contracts, invoicing, and accounts receivable or develop processes to ensure execution and collections;Responsible for working with senior leadership to create annual budgets, including sales forecasts and expenses.",0,
54,3,4,Xylophone,5,FALSE,none,We are a canary wharf based e-commerce company and are recruiting for a full time customer service administrator.   This is a contractor role.The successful candidate will ideally have previous customer service experience and have good verbal and written communication skills.Duties includes-Telephone and email customer service-Processing information on database-General administrative task,1,
67,4,47,Yawn,5,True ,xs,"Hello,Wish you are doing good...                      This is regarding job opportunity with i28 Technologies Corporation, USA. We are looking for IT professionals in different technologies/areas to cater the business needs of our clients located in USA. I am enclosing the details of our Organization Overview and Employee Benefits. You can go through this information and if you are interested please send me your updated Resume and Info Sheet Attached. H-1B Fiscal Year (FY) 2015 Cap SeasonWe are sponsoring H-1B for OPT/ L1/ L2 candidates for the Fiscal Year (FY) 2015 Cap Season. Highlights: Premium H-1B processingFiling done through top Law firmPlacement guaranteed at our direct clients in metro cities like NYC, Boston, Chicago, Atlanta Organization Overview:i28 Technologies has demonstrated expertise in areas strategic to different business in varying verticals. I28 Technologies provides highly skilled Technology Consultants to meet the IT needs of our clients. The functional expertise gleaned from the experience of working for Fortune 500 companies has enabled the team @ I28 Technologies to provide professional service in the areas of Human Resource Consulting, IT consulting, Financial consulting, Business process consulting and Outsourcing. The company's core capabilities in IT consulting are in ERP, Datawarehouse (ETL), Web Technologies, BI Reporting &amp; Database services wherein we concentrate in SAP, OBIEE, Bigdata, Java, Sharepoint and Oracle.I28 Technologies has been incorporated by Top Professionals; therefore we have firsthand experience of the market. We have Global presence in four countries across the globe - USA, Canada, Malaysia and India. Our Client list includes BlueStar, Allianz Life Insurance, TCS etc. I28 Technologies facilitates online/classroom training on various modules of ERP, Datawarehouse (ETL), Web Technologies, BI Reporting &amp; Database. Courses Offered for entry level positions:•             Data Warehousing – ETL and Reporting Tools (Informatica PowerCenter 7.1/6.2/6.1/5.1, Business Objects, Cognos, Data modeling, Erwin, Sybase)•             SAP HANA/ BO/ BODS/ CRM•             JAVA Hadoop/ .NET/ Sharepoint/ Bigdata•             Teradata/ Oracle/ Spotfire/ OBIEE/ Biztalk and many more as per request…  Why you should join I28 Technologies??We have an unbeatable success rate of 100% placement throughout USA &amp; Canada making us proficient in giving our employees the best salaries.We keep full transparency with the employees and believe in high commitment levels as it is the key to have a long-term fruitful relationship.Our competence with SAP, OBIEE, Java and .NET has helped our clients to streamline their business processes and customize their modules to suit their business environment enabling us to upgrade the skills of our employees and broaden their horizons with the latest technology by facilitating online/classroom cross functional training.We also execute On-project support systems when the skills of employees are upgraded and new projects streamlined for them. Our Employee Benefits:1) Best Pay Package as compared to market.2) Dedicated Resource Manager, HR and Recruiter.3) Medical Health Insurance.4) Filling Green Card for Visa Holders immediately on joining any project through the Company.5) Practice Development Option: For highly experienced professionals.6) Referral Program: For Employees.7) Canada Work Permit for eligible and interested employees.8) Eligible to get placed on internal direct client project staff augmentation and Implementation needs, whenever there is matching position and on client’s selection basis.9) Full Autonomy in terms of choosing projects, if more than one project in hand.10) All discussed terms and conditions will be signed by both parties on the letterhead of the Company.11) Free accommodation with food for OPT &amp; out station candidates. Also, we would like to add that we are generally flexible while dealing with consultants depending on given circumstances with our clients and needs of our employees. There are companies who make big commitments initially and keep things in gray area and candidates get to know after they join. We don’t follow such approach and that is why you will find every single point in detail in our “Terms and Conditions” to ensure no miscommunication happens. We keep full transparency and commitment levels with our employees to ensure employee satisfaction because these are the two things which can ensure Company-Employee long-term relationship and mutual benefit.If you are intrested for the above job opening, please send in your updated resume and contact information to #EMAIL_dcfb065d3588ca665ccdc15424875497d16857a702d0228d33d4a27186a49c85# ",1,
56,6,36,Zebra,,True ,m,"We are currently expanding our Marketing Department and we are looking to hire a Content Marketeer with a flair for developing relations with media, partners and customers.The main areas of responsibility will be:- Content creation (priority for earned media and support for owned media)- Database creation and relationship management with bloggers for guest posting and with journalists for PR- Community Management on Social Media and Forums- Event Management and Communications (for events co-organized with our partners)",0,
7,64.5,null,Apple,,True ,l,HAAD/DHA Licensed Doctors Opening in UAEWe the medical recruitment team of Roland and Associates...We have a wonderful job opportunity for HAAD Licensed specialist doctors with one of the leading healthcare groups in AbuDhabi-UAERequirementsEndocrinologistGastroenterologistCardiologistNeurologistUrologistGynecologist (Female)Dermatologist (Female)Radiologist PediatricianOrthopedic surgeonInternal MedicineGeneral SurgeonNeonatologistCandidate should have DHA/HAAD LicenseInterested professionals please mail your updated CV to #EMAIL_0687b9656f843689dea8f44da6cafa830fe2dc77029c46e7b0d0c926dcbc1204#OR Feel Free to call me on +91 80 42821630 (Anoop Gurunathan),0,
